aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
3.818181818,9,18.75,10,10,5.142857143,0.005,0.006,0.009014567,0.008333667,0.007,0.002990208,7.043844795,9.393500146,0.499875436,0.267590892,0.425526577,0.840672777,32.51600468
6,4.5,10.71428571,8.181818182,2.727272727,4,4.55E-07,5.00E-07,0.01,0.001859777,7.64E-04,0.001008879,6.503431209,13.01032132,0.317402123,0.451124469,0.4380729,0.530754485,34.06029521
8.4,4.5,6.25,9,6,3.6,0.005,0.006,0.01,0.012,4.55E-04,0.001002326,9.044876063,12.55493531,0.512554427,0.61481666,0.294808239,0.259083534,40.56392275
6,11.25,10.71428571,18,2.5,12,0.005,0.006,0.01,0.012,0.002688095,0.017,6.950616607,10.9973064,0.460447542,0.554398778,0.551352532,0.405569486,30.14254066
7,11.25,18.75,18,4.285714286,3.272727273,0.005,0.006,0.006009744,0.004091182,0.001785839,0.016947992,7.969970726,10.21924024,0.364961849,0.451319263,0.44325127,0.289829339,91.23515364
4.2,5,15,9,2.5,7.2,0.001736033,0.0050006,0.01,0.012,0.006266667,0.001674558,12.23984468,10.0266033,0.320272939,0.803985041,0.675182205,0.326743476,33.21370811
7,3.75,7.5,30,3.333333333,3.6,0.005,0.006,0.007211731,0.012,5.62E-04,0.01137907,8.158955154,9.796027628,0.432543738,0.370683549,0.428611268,0.532533023,32.04767001
3.818181818,4.090909091,10.71428571,30,4.285714286,4.5,4.55E-07,0.004091509,9.37E-04,0.012,7.14E-04,1.16E-07,8.76336184,12.76835456,0.419395062,0.450027528,0.343393031,0.522126733,37.83057531
3.5,6.428571429,25,12.85714286,3.333333333,4.5,0.005,0.006,0.01,0.012,0.005572222,0.00732586,7.079174588,12.09254019,0.788489068,0.360559625,0.31174125,0.453952166,31.65088055
14,4.5,25,15,3.75,3.6,0.005,0.006,0.008012949,0.012,2.84E-04,0.008266047,7.295360624,14.49985471,0.45053969,0.856356149,0.462615482,0.604752107,31.48228821
10.5,11.25,18.75,7.5,4.285714286,5.142857143,0.005,0.006,0.01,0.012,0.0050002,0.008372372,9.386203658,10.41828673,0.354676936,0.540453969,0.437187272,0.546771488,30.30429284
4.666666667,3.75,6.818181818,8.181818182,3.333333333,12,0.001928871,0.006,0.01,0.010227648,0.005572222,0.013953721,7.158541206,14.092018,0.484212006,0.399222957,0.495915133,0.122113376,32.24028883
8.4,11.25,7.5,30,2.5,3,0.005,0.005114182,0.005151264,0.012,0.003483333,0.002737674,8.656158646,10.2078611,0.328868172,0.423485543,0.446097094,0.255698257,39.20465857
8.4,4.5,7.5,15,3.333333333,3.272727273,0.005,0.006,0.001442423,0.012,0.003902222,0.005088855,8.443726388,12.12684721,0.316001525,0.636160411,0.621138133,0.634719434,37.26002831
14,4.090909091,25,11.25,6,3.6,0.005,0.00186005,0.01,0.012,0.007,0.003596512,9.97553258,9.93414592,0.262937808,0.399098903,0.302048148,0.360794018,31.90070412
10.5,4.5,7.5,30,2.5,12,0.005,0.006,0.002403974,0.012,7.00E-04,0.009966977,8.105022947,9.94960817,0.70448664,0.49365151,0.506517483,0.363549225,39.24191977
14,9,8.333333333,7.5,5,3.6,0.005,0.006,9.62E-08,0.012,0.004166833,0.003596512,7.799578448,15.58669075,0.522894704,0.345412375,0.845775989,0.365637885,35.41637659
5.25,5,10.71428571,30,3,5.142857143,0.005,0.002273273,0.003434194,0.012,0.002271429,5.44E-04,7.282543018,11.43794557,0.445492016,0.460944667,0.576797834,1.330271705,30.00620854
10.5,11.25,25,10,3,4.5,4.55E-07,0.006,0.01,0.008333667,0.003066667,0.005232791,9.363746201,9.764398683,0.40197341,0.352852468,0.907664463,0.48508948,29.93051377
3.818181818,3.75,8.333333333,15,2.727272727,9,0.005,0.006,0.001602679,2.50E-07,0.002498701,0.007475282,7.150734126,9.96157148,0.390460062,0.509461028,0.129509303,0.481304295,38.67006896
5.25,6.428571429,6.818181818,30,2.5,3,0.005,0.006,0.003958479,0.006818455,0.003483333,0.00540598,6.159589496,13.89056468,0.635433737,0.361679042,0.385963878,0.398528498,31.79497956
14,7.5,15,8.181818182,4.285714286,3.6,0.005,0.006,0.001311294,0.012,0.001190587,0.006190698,8.270177053,11.78433107,0.302014528,0.859332004,0.516872659,0.761120189,32.59752066
5.25,3.75,12.5,10,3.333333333,12,0.005,0.006,0.004006538,0.012,2.59E-04,0.004651318,6.922444712,10.68960233,0.530036468,0.345473996,0.417742326,0.3771692,38.79254043
6,15,9.375,8.181818182,5,5.142857143,0.002479835,0.006,0.001803,0.006818515,8.33E-08,0.011960482,6.983709688,11.9055743,0.364603493,0.492851812,0.630555312,0.441765489,39.57509346
7,6.428571429,9.375,15,7.5,4,0.005,0.006,0.009014615,0.012,0.006250167,0.002266667,7.992741905,12.5049042,0.532806387,0.53825341,0.349347906,0.334362455,31.02453569
3.818181818,6.428571429,10.71428571,9,2.727272727,3,0.005,0.006,0.007358878,0.012,0.003293939,0.00540598,6.853743365,11.19030462,0.563258922,0.472235027,0.370534335,0.877729287,31.41790959
8.4,6.428571429,7.5,9,3.75,3.6,0.005,0.006,6.56E-04,2.50E-07,6.25E-04,0.008266047,8.368369936,10.59809414,0.418158643,0.340732317,0.392641892,0.479275859,30.87864104
8.4,4.090909091,10.71428571,15,3,4,0.005,0.006,0.007358878,0.012,0.00585,0.001008879,6.830684347,10.55104707,0.616096667,0.456899324,0.668873775,0.463354858,31.22581408
4.666666667,9,6.25,7.5,7.5,5.142857143,0.005,0.004091455,0.001637238,0.012,5.68E-04,0.008372372,8.64281573,13.8786254,0.702477512,0.476889871,0.831226126,0.357820412,33.52442056
3.5,4.090909091,7.5,30,4.285714286,4.5,0.005,0.006,0.001442423,0.012,0.007,0.00732586,7.183310876,10.39699292,0.354254263,0.500738638,0.710543387,0.781034605,35.03903405
