aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
15.27272727,36,75,40,40,20.57142857,0.049587556,0.540002,0.036057837,0.033333667,0.0333335,0.022509967,13.35414743,0.399720181,0.671722815,46.37958521,0.532634019,0.294942795,0.395179532
24,18,42.85714286,32.72727273,10.90909091,16,0.005,0.006,0.082417871,0.013090909,0.007636364,0.017,18.67203905,0.560955703,0.51997958,46.78776573,0.35117092,0.358244744,0.451676216
33.6,18,25,36,24,14.4,0.050909697,0.04500075,0.112115385,0.0900005,0.007,0.017,15.51015756,0.369014122,0.746141753,50.23948605,0.72940453,0.426500832,1.017451873
24,45,42.85714286,72,10,48,0.054546136,0.11250075,0.041208984,0.090000375,0.017952381,0.167442326,15.59906629,0.130670215,0.416735586,45.29403508,0.623086699,0.660090944,0.331513284
28,45,75,72,17.14285714,13.09090909,0.025455091,0.225001,0.02403859,0.016363909,0.008714286,0.108591966,14.73382874,0.453688399,0.333723091,42.07957873,0.373683327,0.573378025,0.86648999
16.8,20,60,36,10,28.8,0.006942645,0.0200006,0.041208956,0.1260006,0.037666667,0.017,19.86359987,0.413702051,0.35859329,42.27639827,0.299682626,0.424049252,0.225946736
28,15,30,120,13.33333333,14.4,0.254546818,0.063857143,0.039230769,0.150000375,0.007288889,0.076116279,13.61302785,0.353465029,0.793653077,45.53830653,0.44855161,0.730198721,0.53666441
15.27272727,16.36363636,42.85714286,120,17.14285714,18,0.005,0.016364236,0.01,0.100000333,0.007,0.017,17.70100768,0.302980994,0.42222908,36.68411762,0.314690449,0.420627486,0.321199285
14,25.71428571,100,51.42857143,13.33333333,18,0.073636364,0.128572429,0.048077067,0.128571929,0.034888889,0.05335814,15.01104261,0.385029077,0.601999285,39.76381392,0.380619165,0.287029735,0.336104522
56,18,100,60,15,14.4,0.254546364,0.030000667,0.03205141,0.30000075,0.007,0.057544186,16.95128838,0.242433722,0.327454035,42.00781515,0.431932964,0.575584349,0.386248915
42,45,75,30,17.14285714,20.57142857,0.267273818,0.4500015,0.072115577,0.074142857,0.022514286,0.050368106,16.31808453,0.457422906,0.31949376,44.53447142,0.962390694,0.514512794,0.543612243
