aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
15.27272727,36,75,40,40,20.57142857,0.049587556,0.540002,0.036057837,0.033333667,0.0333335,0.022509967,19.97071384,124.034481,76.50878939,8.984740886,0.321751658,389.4376861,282.0660716
24,18,42.85714286,32.72727273,10.90909091,16,0.005,0.006,0.057692538,0.013090909,0.007636364,0.017,22.45428784,111.5478855,92.64143419,6.455595692,0.504097255,564.4249545,210.5041962
33.6,18,25,36,24,14.4,0.076364318,0.04500075,0.112115385,0.0900005,0.007,0.017,19.53775606,99.6143864,114.5549664,6.638938659,0.361340738,699.5168689,240.8076913
24,45,42.85714286,72,10,48,0.054546136,0.11250075,0.029435016,0.090000375,0.017952381,0.167442326,18.59718483,101.1144981,86.70548443,6.411371909,0.356528483,472.6163624,227.5697358
28,45,75,72,17.14285714,13.09090909,0.042424848,0.3150012,0.02403859,0.0360003,0.008714286,0.077638478,27.37248853,122.0215256,110.0761565,8.751711373,0.464581176,442.4784289,283.4243826
16.8,20,60,36,10,28.8,0.006942645,0.0200006,0.028846298,0.1260006,0.037666667,0.017,19.87675564,100.6489716,103.9726232,7.679678617,0.474169344,482.3278104,231.6626903
28,15,30,120,13.33333333,14.4,0.254546818,0.0465,0.039230769,0.150000375,0.009333333,0.076116279,19.36470998,103.7743171,108.0467566,8.11081878,0.315774327,470.0761085,305.8379356
14,16.36363636,42.85714286,120,17.14285714,18,0.210909091,0.016364236,0.01,0.100000333,0.007,0.017,19.02090136,134.0239944,85.16109713,10.48273468,0.298829914,872.5166867,258.8174353
14,25.71428571,100,51.42857143,13.33333333,18,0.073636364,0.128572429,0.048077067,0.128571929,0.050222222,0.071930233,28.07357335,94.14475386,119.6241631,8.453465353,0.323887245,662.0202809,251.0844329
56,18,100,60,15,14.4,0.254546364,0.030000667,0.03205141,0.2100006,0.007,0.045162791,20.67982852,130.1606918,94.10829197,7.430166036,0.626267877,526.9132988,314.8833654
42,45,75,30,17.14285714,20.57142857,0.267273818,0.675002,0.051511154,0.0555,0.031714286,0.099893688,18.65909966,100.9835722,79.91655731,6.846118821,0.471308908,464.277924,283.0694295
18.66666667,15,27.27272727,32.72727273,13.33333333,48,0.016970242,0.1194,0.075891608,0.067324675,0.034888889,0.039867309,28.60374584,128.0201589,83.84888435,7.301282139,0.980702369,503.3828989,233.6843106
33.6,45,30,120,10,12,0.050909697,0.020455091,0.022211538,0.0600003,0.022333333,0.019813953,27.90991876,131.522938,140.2172398,8.653548762,0.568269938,548.0727348,268.3398878
33.6,20,30,60,13.33333333,13.09090909,0.213819273,0.006,0.012,0.2100006,0.025688889,0.031208245,20.1482181,102.7172173,91.6602462,6.83022956,0.157626079,541.7971909,259.7693211
56,16.36363636,100,45,24,14.4,0.356364727,0.007438562,0.288461923,0.1125005,0.04000025,0.029686047,18.7177221,98.51629752,103.8847644,6.74537805,0.586579664,716.1065471,221.6815454
42,18,30,120,10,48,0.572729091,0.270002,0.016538462,0.4200006,0.007,0.027907151,27.67845874,127.6890985,91.33900922,7.146219969,0.40597777,637.4002228,308.126191
56,36,33.33333333,30,20,14.4,0.127273409,0.2520012,0.01,0.186,0.023333533,0.036318937,23.17290436,94.00144444,84.92083153,7.872352956,0.66334722,503.3503376,280.9294791
21,20,42.85714286,120,12,20.57142857,0.031818788,0.033334,0.01,0.60000075,0.020666667,0.017,32.26989888,95.73201491,148.9368163,6.340460251,0.41784853,554.4102164,286.3218285
