time,aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,pricePaidToGen1,pricePaidToGen2,pricePaidToGen3,pricePaidToGen4,pricePaidToGen5,pricePaidToGen6,avgMCP,avgMW 1,avgMW 2,avgMW 3,avgMW 4,avgMW 5,avgMW 6,daily Profit 1,daily Profit 2,daily Profit 3,daily Profit 4,daily Profit 5,daily Profit 6,MCforecast 1,MCforecast 2,MCforecast 3,MCforecast 4,MCforecast 5,MCforecast 6,MWforecast 1,MWforecast 2,MWforecast 3,MWforecast 4,MWforecast 5,MWforecast 6,distr 1,mu 1,sigma 1,nu 1,tau 1,distr 2,mu 2,sigma 2,nu 2,tau 2,distr 3,mu 3,sigma 3,nu 3,tau 3,distr 4,mu 4,sigma 4,nu 4,tau 4,distr 5,mu 5,sigma 5,nu 5,tau 5,distr 6,mu 6,sigma 6,nu 6,tau 6,Obj Value 1,Obj Value 2,Obj Value 3,Obj Value 4,Obj Value 5,Obj Value 6,Prob 1,Prob 2,Prob 3,Prob 4,Prob 5,Prob 6,
0,14.0,15.0,25.0,30.0,10.0,12.0,0.0025,0.003,0.005,0.006,0.0035,0.0085,0.0,0.0,0.0,0.0,11.373026891340997,13.37302689134045,11.373026891340997,0.0,0.0,0.0,0.0,196.14669876299902,80.76628772590875,0.0,0.0,0.0,0.0,0.0,0.0,
0,9.369706016824649,9.532476809787603,10.439614425386264,10.658036394316579,8.104252686780473,9.01495535578076,5.0E-6,0.004919094180459928,1.0E-5,1.2602336220887978E-5,7.087543302843596E-6,3.9805278036940297E-4,0.0,0.0,0.0,0.0,8.107368040443246,9.089934085084609,8.107368040443246,0.0,0.0,0.0,0.0,219.77669339426885,94.18189371051261,0.0,0.0,0.0,0.0,19209.03890960806,10965.142219652824,8.00439223598706,8.00439223598706,8.00439223598706,8.00439223598706,8.00439223598706,8.00439223598706,12.586706379024568,0.580631192266007,0.38500373987392417,0.6929676519136176,0.47354506685883324,36.67446754745543,0.0,8.00439223598706,1.4319273932471634,---,---,0.0,8.00439223598706,1.4319273932471634,---,---,0.0,8.00439223598706,1.4319273932471634,---,---,0.0,8.00439223598706,1.4319273932471634,---,---,0.0,8.00439223598706,1.4319273932471634,---,---,0.0,8.00439223598706,1.4319273932471634,---,---,49.01973927597475,2.722541167795385,5.357741984496441,12.981004210787145,0.474645242331561,100.56803918974249,0.8298487328069634,0.8579471067540144,0.9554971159946785,0.9680738405217383,0.5278009617834298,0.7661192679160872,
1,9.348352706177991,9.510069472313539,10.412656914372304,10.630301957578741,8.084995697379359,8.23911320879734,5.0E-6,0.004899070752089553,1.0E-5,1.2639835326805334E-5,0.0019915063640212442,0.007355337073057008,0.0,0.0,0.0,0.0,8.902663888143229,9.852669818612041,8.89954120830756,0.0,0.0,0.0,0.0,205.28887216630235,109.68610913327443,0.0,0.0,0.0,0.0,12834.63814544905,10743.221008895593,7.97820212439735,7.97820212439735,7.97820212439735,7.97820212439735,7.97820212439735,7.97820212439735,12.586706379024566,0.5806311922660069,0.38500373987392417,0.6929676519136176,7.592720098543506,60.20605117362435,0.0,7.97820212439735,1.4299746179179538,---,---,0.0,7.97820212439735,1.4299746179179538,---,---,0.0,7.97820212439735,1.4299746179179538,---,---,0.0,7.97820212439735,1.4299746179179538,---,---,0.0,7.97820212439735,1.4299746179179538,---,---,0.0,7.97820212439735,1.4299746179179538,---,---,49.31300352707469,2.7366393105533113,5.368599836565417,13.001003427495501,7.9186802430960554,185.12204745469288,0.8310322216674583,0.858864874857685,0.9556646222743008,0.9681776341920294,0.53817248418901,0.7886715444485086,
2,9.336350668497252,9.497473736023359,10.397480566147745,10.614675062293404,8.682461980420571,8.091111696413337,5.06843611177634E-6,0.0048879923862150485,1.0E-5,1.2E-5,7.0E-6,0.005771030860547852,0.0,0.0,0.0,0.0,8.685470264938557,8.885199066363567,8.597653352571596,0.0,0.0,0.0,0.0,214.8774655703704,98.00822862521174,0.0,0.0,0.0,0.0,15356.788097812187,10868.796372365396,7.963515026019482,7.963515026019482,7.963515026019482,7.963515026019482,7.963515026019482,7.963515026019482,12.586706379024566,0.580631192266007,0.3850037398739243,0.692967651913617,215.24801990997057,102.3104727699003,0.0,7.963515026019482,1.4288293685846867,---,---,0.0,7.963515026019482,1.4288293685846867,---,---,0.0,7.963515026019482,1.4288293685846867,---,---,0.0,7.963515026019482,1.4288293685846867,---,---,0.0,7.963515026019482,1.4288293685846867,---,---,0.0,7.963515026019482,1.4288293685846867,---,---,49.47819132597618,2.7445806666998864,5.374721621311599,13.012282957985095,421.03253770129515,374.8294962561704,0.8316989667612804,0.859382666049124,0.9557602714216523,0.9682367603001298,0.6933192803359493,0.8201046488231368,
3,9.343216288102438,9.504385455131105,10.404095438945209,10.621104398380414,8.690454843237873,8.091445178027001,5.013391150403681E-6,0.004889020743259119,1.0E-5,1.2E-5,7.0E-6,0.005736728336454976,0.0,0.0,0.0,0.0,8.69341872262729,8.906196816514866,8.609402511022948,0.0,0.0,0.0,0.0,211.70567067272154,100.39652568628856,0.0,0.0,0.0,0.0,14974.115155140822,11181.617960550335,7.972287066486408,7.972287066486408,7.972287066486408,7.972287066486408,7.972287066486408,7.972287066486408,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,215.95588735883928,104.00342499957381,0.0,7.972287066486408,1.427263834710484,---,---,0.0,7.972287066486408,1.427263834710484,---,---,0.0,7.972287066486408,1.427263834710484,---,---,0.0,7.972287066486408,1.427263834710484,---,---,0.0,7.972287066486408,1.427263834710484,---,---,0.0,7.972287066486408,1.427263834710484,---,---,49.402111237596614,2.7410453210364962,5.372475148625566,13.00834646808526,421.9640887399139,382.86208629052805,0.8316278794146479,0.8593557321060733,0.9557936483914283,0.9682648455279066,0.6933246354097559,0.8210953657503245,
4,9.34446455841275,9.505477090619642,10.404120208472152,10.62084645138082,8.695978002851293,8.091260326453282,5.098311823046743E-6,0.004886190412153309,1.0E-5,1.2E-5,7.0E-6,0.005917775473391723,0.0,0.0,0.0,0.0,8.69892463876934,8.937517598480023,8.616008190129465,0.0,0.0,0.0,0.0,210.47399414637653,99.98631447604106,0.0,0.0,0.0,0.0,14821.12985302715,11013.033057279681,7.974099976481659,7.974099976481659,7.974099976481659,7.974099976481659,7.974099976481659,7.974099976481659,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,217.6023346381763,99.66430293964018,0.0,7.974099976481659,1.4257089405509502,---,---,0.0,7.974099976481659,1.4257089405509502,---,---,0.0,7.974099976481659,1.4257089405509502,---,---,0.0,7.974099976481659,1.4257089405509502,---,---,0.0,7.974099976481659,1.4257089405509502,---,---,0.0,7.974099976481659,1.4257089405509502,---,---,49.39877449147174,2.7409769043655885,5.372783100106591,13.009066606652812,426.7665939105526,360.82991316631563,0.8317920840456713,0.8595045663523807,0.9558500563665994,0.9683055650854556,0.6944366958040221,0.8184679737220089,
5,9.345820694883786,9.506679940812631,10.404280801778016,10.620728860474822,8.693106951101313,8.091224069933276,5.098244866230024E-6,0.004883461632336313,1.0E-5,1.2E-5,7.0E-6,0.005885109795362673,0.0,0.0,0.0,0.0,8.696027315220043,8.936074638235704,8.616485361662287,0.0,0.0,0.0,0.0,208.59743705217554,100.42165275157852,0.0,0.0,0.0,0.0,14641.975302858687,11081.207855308396,7.976042794766522,7.976042794766522,7.976042794766522,7.976042794766522,7.976042794766522,7.976042794766522,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,215.59061439899864,100.62966252617811,0.0,7.976042794766522,1.424166600245955,---,---,0.0,7.976042794766522,1.424166600245955,---,---,0.0,7.976042794766522,1.424166600245955,---,---,0.0,7.976042794766522,1.424166600245955,---,---,0.0,7.976042794766522,1.424166600245955,---,---,0.0,7.976042794766522,1.424166600245955,---,---,49.39396093304103,2.7408373916054587,5.373035728199054,13.00968455586622,420.540738388224,365.63295439484756,0.8319501490655102,0.8596485901582469,0.955905515128701,0.9683456876639035,0.6934371241763742,0.8192587565861499,
6,9.34727409365521,9.507981932595298,10.404557519708913,10.620730191142247,8.691042629192765,8.092007784189565,5.011033676139142E-6,0.004880811619871805,1.0E-5,1.2E-5,7.0E-6,0.00588778017956993,0.0,0.0,0.0,0.0,8.693938966947028,9.27422729453967,8.592208298862031,0.0,0.0,0.0,0.0,206.8812681617626,100.39602993776008,0.0,0.0,0.0,0.0,14477.805242815513,11068.61230767839,7.978103516770946,7.978103516770946,7.978103516770946,7.978103516770946,7.978103516770946,7.978103516770946,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,213.89758067525193,100.65255213442518,0.0,7.978103516770946,1.4226291585574677,---,---,0.0,7.978103516770946,1.4226291585574677,---,---,0.0,7.978103516770946,1.4226291585574677,---,---,0.0,7.978103516770946,1.4226291585574677,---,---,0.0,7.978103516770946,1.4226291585574677,---,---,0.0,7.978103516770946,1.4226291585574677,---,---,49.38787238286282,2.740636853257618,5.373242239138455,13.010217887670684,415.2909456878266,365.6940117248247,0.8321035994151887,0.8597890734681302,0.955960374188322,0.9683854514446607,0.6926046440473819,0.8194312298268311,
7,9.349022652534831,9.509591024904172,10.405162982217163,10.621061101146335,8.688879154653526,8.091141187527315,5.091592743296878E-6,0.004878315215382209,1.0E-5,1.2E-5,7.049619182494432E-6,0.005892854061091365,0.0,0.0,0.0,0.0,8.691770290777784,9.274013266147394,8.592277988289023,0.0,0.0,0.0,0.0,205.0561916477751,100.36495612798274,0.0,0.0,0.0,0.0,14299.871456041763,11058.499332721509,7.980540164835265,7.980540164835265,7.980540164835265,7.980540164835265,7.980540164835265,7.980540164835265,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,212.06383778862167,100.85193549497579,0.0,7.980540164835265,1.4210671238388133,---,---,0.0,7.980540164835265,1.4210671238388133,---,---,0.0,7.980540164835265,1.4210671238388133,---,---,0.0,7.980540164835265,1.4210671238388133,---,---,0.0,7.980540164835265,1.4210671238388133,---,---,0.0,7.980540164835265,1.4210671238388133,---,---,49.378102725626945,2.7402623278529505,5.3733261727559745,13.010530206390715,409.6040380663364,366.6151484647305,0.8322479592854941,0.8599231706691197,0.9560149548407908,0.9684252273962417,0.6916594834752207,0.8197075991110114,
8,9.350373680707309,9.510784040515817,10.405299953119618,10.62091680860415,8.68639317999296,8.091367514306878,5.006839858448577E-6,0.004875541626918433,1.0E-5,1.2E-5,7.003318490387103E-6,0.005899952879719007,0.0,0.0,0.0,0.0,8.689240551289474,9.272723815504087,8.591702581057405,0.0,0.0,0.0,0.0,203.28729161910027,100.11574035261374,0.0,0.0,0.0,0.0,14129.01824772553,11018.727033042263,7.982479596112322,7.982479596112322,7.982479596112322,7.982479596112322,7.982479596112322,7.982479596112322,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,210.22088767060004,100.82207594780701,0.0,7.982479596112322,1.4195090613524368,---,---,0.0,7.982479596112322,1.4195090613524368,---,---,0.0,7.982479596112322,1.4195090613524368,---,---,0.0,7.982479596112322,1.4195090613524368,---,---,0.0,7.982479596112322,1.4195090613524368,---,---,0.0,7.982479596112322,1.4195090613524368,---,---,49.37351011718952,2.740134370268464,5.373590973631096,13.01117186019926,404.0010462600075,366.42212092452047,0.8324087545678279,0.860069470982684,0.9560710381133034,0.9684657802696786,0.690743718071656,0.8198539063132749,
9,9.351720326460011,9.511975106953525,10.405437604506885,10.620773951582013,8.683865739613925,8.091427141222352,5.005440061484468E-6,0.004872774209049891,1.0E-5,1.2E-5,7.0E-6,0.0059126504268791945,0.0,0.0,0.0,0.0,8.686687678645033,9.271242425046305,8.590611864116097,0.0,0.0,0.0,0.0,201.56707365060046,99.77042431431903,0.0,0.0,0.0,0.0,13962.713992218196,10965.314606918742,7.984416569576811,7.984416569576811,7.984416569576811,7.984416569576811,7.984416569576811,7.984416569576811,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,208.37333195919294,100.67653202396875,0.0,7.984416569576811,1.4179547647600743,---,---,0.0,7.984416569576811,1.4179547647600743,---,---,0.0,7.984416569576811,1.4179547647600743,---,---,0.0,7.984416569576811,1.4179547647600743,---,---,0.0,7.984416569576811,1.4179547647600743,---,---,0.0,7.984416569576811,1.4179547647600743,---,---,49.36891479239318,2.7400060964342106,5.373854673825686,13.011811089274739,398.4226330288268,365.6464309111994,0.8325691924541538,0.8602154309521114,0.9561269711715147,0.9685062237712725,0.6898191046194728,0.8199249620976187,
10,9.353060543438389,9.513159841924777,10.405570505305134,10.620626882847375,8.681446107132638,8.09097775707224,5.003983620780042E-6,0.004870009372910552,1.0E-5,1.2E-5,7.0E-6,0.005934413581048059,0.0,0.0,0.0,0.0,8.68424750887124,9.271284110806215,8.589000240347511,0.0,0.0,0.0,0.0,200.10012418572762,99.44591303034231,0.0,0.0,0.0,0.0,13825.018179446524,10912.761563644894,7.986346052575131,7.986346052575131,7.986346052575131,7.986346052575131,7.986346052575131,7.986346052575131,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,206.5789087522785,100.37422203890945,0.0,7.986346052575131,1.416403629376332,---,---,0.0,7.986346052575131,1.416403629376332,---,---,0.0,7.986346052575131,1.416403629376332,---,---,0.0,7.986346052575131,1.416403629376332,---,---,0.0,7.986346052575131,1.416403629376332,---,---,0.0,7.986346052575131,1.416403629376332,---,---,49.364375550169164,2.739880343903014,5.374119503830503,13.01245202207275,393.03714824254973,364.08353752468736,0.8327295312216115,0.8603612531441446,0.9561827951421585,0.9685465830850107,0.688920163629276,0.8198943028684749,
11,9.35439012653347,9.514336085447585,10.405695744031924,10.620472560315424,8.679439811155163,8.090631719771155,5.089512316457102E-6,0.00486724120626053,1.0E-5,1.2E-5,7.0E-6,0.005957278278063826,0.0,0.0,0.0,0.0,8.682224637732087,9.272019340261709,8.587416571273963,0.0,0.0,0.0,0.0,198.9161840660897,99.15498029030437,0.0,0.0,0.0,0.0,13715.071482745865,10864.710650374112,7.988265655066953,7.988265655066953,7.988265655066953,7.988265655066953,7.988265655066953,7.988265655066953,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,204.96693590258144,100.03564575834025,0.0,7.988265655066953,1.4148550624381215,---,---,0.0,7.988265655066953,1.4148550624381215,---,---,0.0,7.988265655066953,1.4148550624381215,---,---,0.0,7.988265655066953,1.4148550624381215,---,---,0.0,7.988265655066953,1.4148550624381215,---,---,0.0,7.988265655066953,1.4148550624381215,---,---,49.359923426836644,2.739758626147423,5.374386714802121,13.013097000056984,388.21433383185104,362.3421214226755,0.8328899375705902,0.8605070722820568,0.9562385418659242,0.968586880487605,0.6881242566965681,0.8198399946245309,
12,9.355705555490365,9.515495669860018,10.405804110791946,10.620301629632225,8.67807132427455,8.092040761235541,5.088947512598997E-6,0.0048644677286596135,1.0E-5,1.2E-5,7.0E-6,0.0059702495142399635,0.0,0.0,0.0,0.0,8.68084560753947,9.274204014283603,8.586534867704657,0.0,0.0,0.0,0.0,198.16309035158665,99.004509797155,0.0,0.0,0.0,0.0,13647.667518770766,10836.70762140095,7.990165625647049,7.990165625647049,7.990165625647049,7.990165625647049,7.990165625647049,7.990165625647049,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,203.63407215235875,99.72469415686001,0.0,7.990165625647049,1.4133091044924935,---,---,0.0,7.990165625647049,1.4133091044924935,---,---,0.0,7.990165625647049,1.4133091044924935,---,---,0.0,7.990165625647049,1.4133091044924935,---,---,0.0,7.990165625647049,1.4133091044924935,---,---,0.0,7.990165625647049,1.4133091044924935,---,---,49.35566026844094,2.739645794247588,5.374659870459963,13.013752516037934,384.222978307458,360.7439092108685,0.8330507356134501,0.8606531290679891,0.9562942420074917,0.9686271318570818,0.6874910883364966,0.8198038604626183,
13,9.357000204825459,9.516631849969476,10.405888597013385,10.62010712628238,8.677590111149051,8.091367167684941,5.002707659749118E-6,0.004861683555309077,1.0E-5,1.2E-5,7.0E-6,0.005989859730048199,0.0,0.0,0.0,0.0,8.680358595915061,9.276464393148181,8.585645139169428,0.0,0.0,0.0,0.0,197.74891185801212,98.9252903134098,0.0,0.0,0.0,0.0,13609.323373066678,10818.49807113352,7.9920376486162805,7.9920376486162805,7.9920376486162805,7.9920376486162805,7.9920376486162805,7.9920376486162805,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,202.6868750406507,99.50300581017186,0.0,7.9920376486162805,1.4117665581958134,---,---,0.0,7.9920376486162805,1.4117665581958134,---,---,0.0,7.9920376486162805,1.4117665581958134,---,---,0.0,7.9920376486162805,1.4117665581958134,---,---,0.0,7.9920376486162805,1.4117665581958134,---,---,0.0,7.9920376486162805,1.4117665581958134,---,---,49.351665213483074,2.739545572073175,5.374941526904875,13.014423147793343,381.35625730357157,359.5969307366652,0.8332120888682144,0.8607995321216371,0.9563498910235598,0.9686673298574175,0.6870865900318248,0.819826309978078,
14,9.358279916210146,9.517755099188225,10.405961075707614,10.619901090431474,8.677999724272402,8.09174387682679,5.0E-6,0.004858897705200549,1.0E-5,1.2E-5,7.0E-6,0.0059996807862072446,0.0,0.0,0.0,0.0,8.680765495401348,9.277823952019862,8.585614778448228,0.0,0.0,0.0,0.0,197.5550806389529,98.84526506141525,0.0,0.0,0.0,0.0,13587.790942168383,10803.292184192676,7.9938942242669695,7.9938942242669695,7.9938942242669695,7.9938942242669695,7.9938942242669695,7.9938942242669695,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,202.1220478741707,99.38706904627034,0.0,7.9938942242669695,1.4102274303062152,---,---,0.0,7.9938942242669695,1.4102274303062152,---,---,0.0,7.9938942242669695,1.4102274303062152,---,---,0.0,7.9938942242669695,1.4102274303062152,---,---,0.0,7.9938942242669695,1.4102274303062152,---,---,0.0,7.9938942242669695,1.4102274303062152,---,---,49.34780717009599,2.7394517107323066,5.375227076524403,13.015100494089586,379.5908779128026,358.9808003664016,0.8333735709411233,0.8609459629653647,0.9564054466960299,0.9687074506098298,0.6869096403558602,0.8199177593581676,
15,9.359538488218439,9.518857089588462,10.406012863964753,10.619681503912693,8.67903121519653,8.09175715215932,5.003109261032089E-6,0.004856104088277475,1.0E-5,1.2E-5,7.0E-6,0.006009771089797648,0.0,0.0,0.0,0.0,8.681796497168605,9.278861423322054,8.585881144253847,0.0,0.0,0.0,0.0,197.52014086262986,98.76451643707321,0.0,0.0,0.0,0.0,13578.46291449838,10788.60594789744,7.995725099391613,7.995725099391613,7.995725099391613,7.995725099391613,7.995725099391613,7.995725099391613,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,201.8282237803209,99.30565925187719,0.0,7.995725099391613,1.4086926715764125,---,---,0.0,7.995725099391613,1.4086926715764125,---,---,0.0,7.995725099391613,1.4086926715764125,---,---,0.0,7.995725099391613,1.4086926715764125,---,---,0.0,7.995725099391613,1.4086926715764125,---,---,0.0,7.995725099391613,1.4086926715764125,---,---,49.34418407283037,2.739368821086856,5.375519694620279,13.015790246605492,378.6037390283672,358.53935750329435,0.8335353891919054,0.8610925600055124,0.9564609049538458,0.968747816832005,0.6868955797919469,0.8200321341734158,
16,9.360782823436454,9.519947017298165,10.406054634266898,10.619446182952261,8.680463159570717,8.0913512530977,5.088591270497146E-6,0.004853311555225151,1.0E-5,1.2E-5,7.070471453930484E-6,0.006021963697329882,0.0,0.0,0.0,0.0,8.683257011326434,9.27968721233394,8.58631137565751,0.0,0.0,0.0,0.0,197.57181497171703,98.66681525854624,0.0,0.0,0.0,0.0,13575.200591188446,10771.542262476385,7.99754113392855,7.99754113392855,7.99754113392855,7.99754113392855,7.99754113392855,7.99754113392855,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,201.72069895322824,99.22348941025464,0.0,7.99754113392855,1.4071626092761376,---,---,0.0,7.99754113392855,1.4071626092761376,---,---,0.0,7.99754113392855,1.4071626092761376,---,---,0.0,7.99754113392855,1.4071626092761376,---,---,0.0,7.99754113392855,1.4071626092761376,---,---,0.0,7.99754113392855,1.4071626092761376,---,---,49.34067869434858,2.7392912965495557,5.375815174207426,13.016484702157392,378.1493868716769,358.0952534072727,0.8336971265324371,0.8612390063491127,0.9565162163249492,0.96878774598529,0.6869932912784498,0.8201459902850983,
17,9.362019632370844,9.52102747333263,10.40608945733749,10.61920474626627,8.6822172380853,8.091886758404117,5.0883294488658635E-6,0.004850523379081282,1.0E-5,1.2E-5,7.0E-6,0.006029775851495284,0.0,0.0,0.0,0.0,8.68498468923576,9.280462017020431,8.587160486567635,0.0,0.0,0.0,0.0,197.67508217566888,98.55882605665745,0.0,0.0,0.0,0.0,13575.804846449057,10753.552123467245,7.999345359426406,7.999345359426406,7.999345359426406,7.999345359426406,7.999345359426406,7.999345359426406,12.586706379024566,0.580631192266007,0.3850037398739243,0.6929676519136166,201.72952070063187,99.1321956902236,0.0,7.999345359426406,1.405637408715629,---,---,0.0,7.999345359426406,1.405637408715629,---,---,0.0,7.999345359426406,1.405637408715629,---,---,0.0,7.999345359426406,1.405637408715629,---,---,0.0,7.999345359426406,1.405637408715629,---,---,0.0,7.999345359426406,1.405637408715629,---,---,49.33725751846432,2.7392175296394212,5.37611229223426,13.017181614355618,378.0274851080476,357.6064984897275,0.8338586548222959,0.8613852035522568,0.9565713642971369,0.968827551421252,0.6871608370748997,0.8202537361006127,
